All Ages,UTLA19CD,UTLA19NM
1665,E06000047,County Durham
1364,E06000047,County Durham
1730,E06000047,County Durham
1830,E06000047,County Durham
1510,E06000047,County Durham
1351,E06000047,County Durham
1368,E06000047,County Durham
1582,E06000047,County Durham
1507,E06000047,County Durham
1480,E06000047,County Durham
1820,E06000047,County Durham
1652,E06000047,County Durham
2038,E06000047,County Durham
1533,E06000047,County Durham
1508,E06000047,County Durham
1994,E06000047,County Durham
1801,E06000047,County Durham
1852,E06000047,County Durham
1610,E06000047,County Durham
1331,E06000047,County Durham
1400,E06000047,County Durham
1720,E06000047,County Durham
1697,E06000047,County Durham
2326,E06000047,County Durham
1535,E06000047,County Durham
1594,E06000047,County Durham
1665,E06000047,County Durham
1547,E06000047,County Durham
1454,E06000047,County Durham
1664,E06000047,County Durham
1423,E06000047,County Durham
1725,E06000047,County Durham
1400,E06000047,County Durham
1583,E06000047,County Durham
2160,E06000047,County Durham
2434,E06000047,County Durham
1622,E06000047,County Durham
1547,E06000047,County Durham
1773,E06000047,County Durham
1545,E06000047,County Durham
1739,E06000047,County Durham
1549,E06000047,County Durham
1245,E06000047,County Durham
1702,E06000047,County Durham
1695,E06000047,County Durham
2296,E06000047,County Durham
2196,E06000047,County Durham
1347,E06000047,County Durham
2184,E06000047,County Durham
1535,E06000047,County Durham
1613,E06000047,County Durham
1201,E06000047,County Durham
1756,E06000047,County Durham
1481,E06000047,County Durham
1793,E06000047,County Durham
1841,E06000047,County Durham
2452,E06000047,County Durham
1686,E06000047,County Durham
2216,E06000047,County Durham
1386,E06000047,County Durham
1510,E06000047,County Durham
1635,E06000047,County Durham
1755,E06000047,County Durham
1497,E06000047,County Durham
1753,E06000047,County Durham
1740,E06000047,County Durham
1400,E06000047,County Durham
1629,E06000047,County Durham
1619,E06000047,County Durham
3514,E06000047,County Durham
1580,E06000047,County Durham
1258,E06000047,County Durham
1407,E06000047,County Durham
1812,E06000047,County Durham
1321,E06000047,County Durham
1462,E06000047,County Durham
1176,E06000047,County Durham
1117,E06000047,County Durham
1561,E06000047,County Durham
1776,E06000047,County Durham
2218,E06000047,County Durham
1169,E06000047,County Durham
1440,E06000047,County Durham
1246,E06000047,County Durham
1756,E06000047,County Durham
1290,E06000047,County Durham
1292,E06000047,County Durham
1617,E06000047,County Durham
1442,E06000047,County Durham
1279,E06000047,County Durham
1259,E06000047,County Durham
1338,E06000047,County Durham
1432,E06000047,County Durham
